N°,Pregunta cuestionario,Categoría,Dificultad,Razón de la puntuación
275,¿Qué me da más flojera hacer en casa?,Rompehielos/Divertidas,1,Tareas domésticas odiadas.
276,¿Qué error tuyo aprendí a amar?,Nostálgicas,3,Aceptación profunda de imperfecciones.
277,¿Qué desafío personal mío superaste conmigo de una forma inolvidable?,Nostálgicas,2,Apoyo y memoria emocional.
278,¿Qué cosa perdí y nunca pude encontrar?,Rompehielos/Divertidas,2,Anécdotas personales.
279,¿Qué apodo cariñoso me pusiste que nunca usaste en público?,Nostálgicas,2,Intimidad en la relación.
280,¿Cuál es la mentira piadosa más grande que nos hemos dicho por amor?,Nostálgicas,3,Confesión delicada.
281,¿Cuál es mi comida rápida favorita?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
282,¿Qué nombre le pondría a mi canal de YouTube?,Rompehielos/Divertidas,3,Creatividad + autoconocimiento.
283,¿Qué momento nos hizo sentir equipo por primera vez?,Nostálgicas,3,Intuición de conexión profunda.
284,¿Qué objeto simbólico de una etapa pasada de nuestra relación aún conservo en secreto?,Nostálgicas,2,Valor sentimental oculto.
285,¿Qué tradición navideña o de otra festividad odio?,Rompehielos/Divertidas,2,Preferencias culturales específicas.
286,Algo que me prestaron y nunca devolvi fue...,Nostálgicas,1,Detalle tangible de convivencia.
287,¿Qué objeto llevarías a una cita en el espacio?,Hipotéticas/Imaginativas,3,Imaginación extrema.
288,"Si tuviéramos un ""aniversario alternativo"" por algo gracioso que nos pasó, ¿cuál sería?",Nostálgicas,2,Humor y creación de tradiciones propias.
289,¿Cuál fue el momento más incómodo de nuestra relación?,Nostálgicas,2,Situaciones embarazosas compartidas.
290,¿Qué canción asocias a nuestro primer viaje?,Nostálgicas,2,Memoria sensorial auditiva.
291,¿Qué ritual tenemos que debería repetirse siempre?,Nostálgicas,1,Tradición positiva.
292,¿Qué promesa tonta nos hicimos al principio que aún recordamos?,Nostálgicas,1,Pactos juveniles o inocentes.
293,¿Qué frase cursi te dije al principio que ahora me da pena?,Nostálgicas,2,Evolución del romance.
294,¿Qué pregunta jamás me has hecho pero quieres saber?,Profundas/Románticas,3,Interés latente.
295,¿Cuál fue la primera impresión que tuvieron mis amigos/familia de ti?,Nostálgicas,2,"Percepción externa, tema de conversación."
296,¿Qué película me hace llorar aunque la haya visto mil veces?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
297,¿Qué prenda de ropa mía odiabas pero nunca me dijiste?,Nostálgicas,2,Honestidad tardía sobre gustos.
298,¿Qué viaje hicimos que fue decepcionante pero lo disfrutamos igual?,Nostálgicas,2,Resiliencia emocional.
299,¿Qué aventura espontánea nuestra es mi favorita?,Nostálgicas,1,Recuerdo de impulsividad compartida.
300,¿Que es lo que hago cuando miento que me descubre?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
301,"¿En qué momento supiste que yo era ""el/la indicado/a""?",Nostálgicas,3,Momento de conexión profunda.
302,¿Qué foto borraría por vergüenza pero atesoras?,Nostálgicas,3,Contradicción emocional compleja.
303,¿Qué palabra describe cómo te sientes al despertar junto a mí?,Profundas/Románticas,2,Conciencia emocional.
304,¿Qué cita que planifiqué resultó en desastre?,Nostálgicas,1,Eventos memorables negativos.
305,¿Qué crisis nos fortaleció sin darnos cuenta?,Profundas/Románticas,2,Reconocimiento de crecimiento mutuo.
306,¿Qué libro le recomendarías a alguien que quiera entenderte mejor?,Profundas/Románticas,3,Autoconocimiento indirecto.
307,¿Cuál es el cumplido más extraño pero significativo que te he dado?,Nostálgicas,2,Formas peculiares de expresar afecto.
308,¿Qué mentira piadosa me dijiste al principio?,Nostálgicas,3,Confesiones incómodas.
309,¿Qué canción me dedicarías en este momento de nuestra relación?,Hipotéticas/Imaginativas,2,Conexión emocional musical.
310,¿Qué es lo que más me gusta de despertar a tu lado?,Profundas/Románticas,1,Apreciación de la cotidianeidad íntima.
311,¿Qué familiar tuyo me intimidaba más al conocerlo?,Nostálgicas,2,Primeras impresiones familiares.
312,La herida infanil que me ayudaste a sanar es ....,Profundas/Románticas,3,Vulnerabilidad transformadora.
313,¿Qué prenda de vestir te gustaría que usara más seguido?,Intimas/Picantes,1,Preferencias visuales.
314,¿Qué actividad hacíamos mucho antes y ya no?,Nostálgicas,1,Cambios en la rutina de pareja.
315,¿Qué versión de mí desconocías hace un año?,Profundas/Románticas,2,Conciencia de evolución personal.
316,La fantasia romantica que nunca te he compartido es...,Intimas/Picantes,3,Intimidad emocional y sexual.
317,El momento en que senti que nuestro amor podia superar cualquier cosa es...,Profundas/Románticas,2,Revelación de fortaleza en la relación.
318,¿Qué promesa nos hicimos que no hemos cumplido?,Nostálgicas,2,Compromisos pendientes.
319,¿Qué miedo tuyo guardo en secreto?,Profundas/Románticas,3,Confianza absoluta.
320,La situacion íntima que me hace sentir más conectado/a es ...,Intimas/Picantes,2,Nivel físico y emocional.
321,Mi mayor miedo respecto a nuestro futuro juntos es ...,Profundas/Románticas,3,Vulnerabilidad y necesidad de seguridad.
322,¿Cuál fue nuestro primer gran pleito y por qué?,Nostálgicas,2,Conflictos fundacionales.
323,¿Qué enseñanza me diste sin intentarlo?,Profundas/Románticas,1,Impacto no verbalizado.
324,¿Qué palabra prohibida usarías en intimidad?,Intimas/Picantes,3,Exploración límite.
325,¿Qué cualidad tuya me inspira a ser una mejor persona cada día?,Profundas/Románticas,1,Impacto positivo observable.
326,¿Qué lugar visitamos que quedó en mi memoria?,Nostálgicas,1,Sitios significativos compartidos.
327,¿Qué sueño abandoné que debería retomar?,Profundas/Románticas,2,Intuición de aspiraciones ocultas.
328,¿Qué lugar secreto imaginas para una escapada romántica?,Hipotéticas/Imaginativas,3,Imaginación + romanticismo.
329,"El ""lenguaje del amor"" que siento que más necesito de ti últimamente es ...",Profundas/Románticas,2,Necesidades emocionales actuales.
330,¿Qué olor me hace sonreír siempre?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
331,¿Qué canción me dedicaste?,Nostálgicas,2,Gestos románticos musicales.
332,¿Qué palabra necesito oír en mis días oscuros?,Profundas/Románticas,1,Soporte emocional básico.
333,¿Qué comida usarías en una cena erótica improvisada?,Intimas/Picantes,2,Sensualidad y creatividad.
334,El pequeño sacrificio hago por ti regularmente que quizás no notes pienso que es...,Profundas/Románticas,2,Actos de amor no verbalizados.
335,¿Qué palabra uso en exceso en mis mensajes?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
336,¿Qué foto nuestra es mi favorita?,Nostálgicas,2,Memoria visual específica.
337,¿Qué defensa emocional debería bajar?,Profundas/Románticas,3,Autoconocimiento conyugal.
338,¿Qué parte de mi cuerpo te gustaría besar primero en la mañana?,Intimas/Picantes,1,Intimidad natural.
339,¿Qué promesa nunca escrita es sagrada para nosotros?,Profundas/Románticas,1,Acuerdo tácito fundamental.
340,¿Qué tradición romántica nos gustaría crear juntos?,Hipotéticas/Imaginativas,2,Futuro sentimental.
341,¿Cuál es la conversación más profunda que hemos tenido que aún resuena en mí?,Profundas/Románticas,2,Impacto de la comunicación íntima.
342,¿Qué sorpresa me organizaste que más me gustó?,Nostálgicas,1,Gestos memorables positivos.
343,¿Qué parte de tu infancia quiero proteger?,Profundas/Románticas,3,Empatía generacional.
344,¿Qué mensaje escribirías en una carta de amor anónima dirigida a mí?,Profundas/Románticas,3,Expresión sincera.
345,¿De qué forma no verbal te demuestro mi amor más frecuentemente?,Profundas/Románticas,1,Gestos cotidianos de afecto.
346,¿Qué invento absurdo me encantaría que existiera?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
347,¿Qué momento me hizo reír tanto que lloré?,Nostálgicas,2,Situaciones hilarantes compartidas.
348,¿Qué silencio nuestro tiene o tuvo mayor significado?,Profundas/Románticas,2,Comunicación no verbal profunda.
349,¿Qué gesto inesperado me haría llorar de emoción?,Profundas/Románticas,2,Conexión emocional profunda.
350,Gracias a estar contigo aprendi de mi mismo/a que ...,Profundas/Románticas,2,Autoconocimiento a través de la relación.
351,¿Qué conversación cambió nuestra relación para siempre?,Nostálgicas,3,Momentos de inflexión comunicativa.
352,¿A qué renuncie que valió la pena por nosotros?,Profundas/Románticas,3,Sacrificios no reconocidos.
353,¿Qué experiencia nueva quieres vivir conmigo en la intimidad?,Intimas/Picantes,3,Confianza y exploración.
354,"Mi ""lugar feliz"" emocional al que voy cuando necesito consueloes ....",Profundas/Románticas,3,Necesidades emocionales profundas.
355,¿Qué película infantil me sé de memoria?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
356,¿Qué talento o pasión mía crees que no he explorado lo suficiente?,Profundas/Románticas,2,Apoyo a aspiraciones personales.
357,¿En qué fecha exacta nos dimos el primer beso?,Nostálgicas,3,Detalles específicos románticos.
358,"Si hiciera una cita tematica, el tema seria....",Hipotéticas/Imaginativas,2,Creatividad + diversión.
359,Si tuviera que definir nuestra relacion con una sola palabra seria...,Profundas/Románticas,1,Concepto de seguridad y pertenencia.
360,¿Qué broma me hiciste que todavía no te perdono?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
361,¿Qué ciudad elegirías para nuestra próxima gran aventura juntos?,Hipotéticas/Imaginativas,1,Deberías saberlo.
362,"Si la vida nos diera un ""borrón y cuenta nueva"" en algún aspecto de nuestra relación, yo cambiarioa...",Profundas/Románticas,3,Reflexión honesta y potencialmente dolorosa.
363,¿Qué frase uso siempre que quiero evitar una discusión?,Rompehielos/Divertidas,1,Deberías saberlo por observación o convivencia.
364,¿Qué apodo cariñoso usabas que ya no usas?,Nostálgicas,1,Evolución del lenguaje amoroso.
365,¿Qué problema mundial resolveríamos primero?,Hipotéticas/Imaginativas,3,Priorización de valores compartidos.
366,¿Qué me regalaste hecho por ti mismo/a?,Nostálgicas,2,Gestos artesanales del pasado.
367,Si intercambiáramos trabajos por un día yo aprenderia ...,Hipotéticas/Imaginativas,2,Conocimiento de rutinas laborales.
368,¿Qué celebridad usarías para describirme físicamente?,Rompehielos/Divertidas,1,Comparación visual simple.
369,¿Qué secreto mío te conté que te sorprendió más?,Nostálgicas,3,Revelaciones impactantes.
370,¿Qué película de terror viviríamos juntos?,Hipotéticas/Imaginativas,1,Gustos cinematográficos.
371,"Si tuviéramos que escribir un libro juntos, ¿de qué género sería y sobre qué trataría?",Hipotéticas/Imaginativas,2,Intereses compartidos y creatividad.
372,¿Qué actividad nueva probamos juntos por primera vez?,Nostálgicas,1,Experiencias pioneras compartidas.
373,¿Qué nombre le pondríamos a nuestro yate si fuéramos millonarios?,Hipotéticas/Imaginativas,1,Humor y aspiraciones compartidas.
374,¿Qué apocalipsis sobreviviríamos mejor?,Hipotéticas/Imaginativas,2,Habilidades complementarias.
375,¿Qué canción usarías como banda sonora para nuestra vida juntos?,Hipotéticas/Imaginativas,1,Identificación musical.
376,¿Qué haría si supiera que me quedan 6 meses de vida?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
377,¿Qué logro personal me llena más de orgullo?,Profundas/Románticas,2,Autoestima y valores personales.
378,¿Qué tema TED daríamos juntos?,Hipotéticas/Imaginativas,3,Identificación de conocimiento único.
379,¿Qué valor crees que fortalece nuestra relación más que cualquier otro?,Profundas/Románticas,2,Comprensión ética.
380,¿De qué tema nunca me cansaría de hablar contigo?,Profundas/Románticas,1,Pasiones conversacionales.
381,¿Qué habilidad emocional crees que necesito mejorar?,Profundas/Románticas,3,Crecimiento personal.
382,"Si pudiéramos tener una cena con cualquier personaje histórico o ficticio (uno cada uno), ¿a quiénes elegiríamos y por qué?",Hipotéticas/Imaginativas,3,Intereses intelectuales y valores.
383,¿Qué me gustaría escuchar de ti más seguido?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
384,¿Qué creencia mía ha cambiado desde que estamos juntos?,Profundas/Románticas,3,Evolución personal profunda.
385,¿Qué color describe cómo te sientes hoy en la relación?,Hipotéticas/Imaginativas,2,Emociones abstractas.
386,¿Qué tipo de criaturas míticas seríamos si viviéramos en un mundo de fantasía?,Hipotéticas/Imaginativas,2,Autopercepción y arquetipos.
387,¿Qué hábito cambié desde que estamos juntos?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
388,¿Qué parte de mi pasado me cuesta más compartir?,Profundas/Románticas,3,Vulnerabilidades ocultas.
389,¿Qué estilo arquitectónico tendría nuestra casa soñada?,Hipotéticas/Imaginativas,2,Gustos estéticos compartidos.
390,¿Qué animal soy cuando estoy molesto/a?,Rompehielos/Divertidas,2,Percepción emocional humorística.
391,"Si nuestra vida amorosa fuera una receta, ¿cuáles serían los ingredientes principales y el ""toque secreto""?",Hipotéticas/Imaginativas,3,Metáfora creativa y análisis de la relación.
392,La situacion que mas me ha puesto en conflicto con mis propios valores fue...,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
393,¿Qué lugar te gustaría que visitáramos juntos por primera vez?,Hipotéticas/Imaginativas,1,Deberías saberlo.
394,¿Qué pregunta debería hacerte más seguido?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
395,Lo que mas ansiedad me provoca de nuestra relacion es ...,Profundas/Románticas,3,Inseguridades relacionales honestas.
396,Algo que probaria sexualmente hablando solo contigo es...,Intimas/Picantes,3,Confesión de fantasía específica.
397,"Si tuviéramos que diseñar una atracción de parque temático basada en nuestra relación, ¿cómo sería?",Hipotéticas/Imaginativas,3,Creatividad y simbolismo lúdico.
398,¿Qué parte de tu forma de amar me da más seguridad?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
399,¿Qué sueño tengo que creo que no entiendes?,Profundas/Románticas,2,Aspiraciones incomprendidas.
400,¿Qué parte de tu cuerpo descubrí tarde que me excita?,Intimas/Picantes,2,Exploración física progresiva.
401,¿Qué experiencia de infancia mía te gustaría haber vivido conmigo?,Nostálgicas,3,Empatía histórica.
402,El momento en que me suelo sentir mas conectado/a contigo es...,Profundas/Románticas,2,Intimidad emocional específica.
403,¿Qué lugar prohibido me genera morbo?,Intimas/Picantes,3,Tabú social + riesgo.
404,¿Qué frase usarías para resumir tu vida en tres palabras?,Profundas/Románticas,2,Autoanálisis condensado.
405,"Si tuviéramos que huir y cambiar de identidad, ¿qué nuevos nombres elegiríamos?",Hipotéticas/Imaginativas,2,Fantasía de escape y reinvención.
406,¿Qué parte de mi cuerpo me costó aceptar?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
407,Un sacrificio que hice por nuestra relacion sin decirtelo fue...,Profundas/Románticas,3,Gestos silenciosos significativos.
408,¿Qué comida asocias con nuestros momentos más felices?,Nostálgicas,1,Memoria sensorial.
409,¿Qué objeto de nuestra casa vendería primero si necesitáramos dinero urgente?,Hipotéticas/Imaginativas,2,Prioridades y desapego material.
410,¿Qué tipo de conversación me vuelve inseguro/a?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
411,¿Qué parte de mi personalidad me gustaría cambiar?,Profundas/Románticas,2,Autocrítica constructiva.
412,¿Qué animal soy cuando estoy feliz?,Rompehielos/Divertidas,2,Caracterización emocional.
413,"Si tuviéramos un talk show juntos, ¿quién sería el presentador principal y quién el co-conductor cómico?",Hipotéticas/Imaginativas,1,Dinámica de roles y humor.
414,¿Qué me hace sentir juzgado por los demás?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
415,Lo qué me falta vivir para sentirme completo/a es ...,Profundas/Románticas,3,Necesidades existenciales profundas.
416,¿Qué prenda interior elegirías para mí en una cita especial?,Intimas/Picantes,1,Preferencias visuales conocidas.
417,"¿Qué es lo más ""atrevido"" que hemos hecho en público (o que me gustaría hacer)?",Intimas/Picantes,2,Límites y fantasías de exhibicionismo leve.
418,¿Qué palabra o frase tuya me tranquiliza siempre?,Profundas/Románticas,1,Poder sanador del lenguaje.
419,¿Qué hora del día prefiero para la intimidad?,Intimas/Picantes,2,Ritmos corporales observables.
420,¿Qué canción escucharías si estuvieras pensando en mí?,Hipotéticas/Imaginativas,2,Conexión emocional musical.
421,¿Qué parte de mi infancia no me gusta recordar?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
422,¿Qué aspecto de nuestro futuro me emociona más?,Profundas/Románticas,2,Esperanzas compartidas específicas.
423,¿Qué palabra usaría para definirme en esta etapa de mi vida?,Profundas/Románticas,2,Introspección madura.
424,"Si tuvieras que describirme en la cama con tres adjetivos, ¿cuáles serían?",Intimas/Picantes,1,Autopercepción y feedback directo.
425,Algo que me hizo cambiar mi opinion sobre el amor fue...,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
426,¿Qué me hace sentir más amado/a: palabras o acciones?,Profundas/Románticas,1,Lenguajes del amor preferidos.
427,¿Qué parte de tu cuerpo es mi favorita para besar (que no sea la boca)?,Intimas/Picantes,1,Preferencia física específica.
428,¿Qué opinión tengo sobre la fidelidad emocional?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
429,¿Qué momento difícil nuestro me hizo valorarte más?,Profundas/Románticas,3,Crecimiento a través de crisis.
430,¿Qué sonido hago solo en intimidad profunda?,Intimas/Picantes,2,Observación auditiva íntima.
431,¿Qué animal soy cuando estoy cansado/a?,Rompehielos/Divertidas,1,Deberías saberlo.
432,¿Cuál es el escenario más exótico o inusual donde me gustaría tener intimidad contigo?,Intimas/Picantes,3,Fantasía elaborada y aventurera.
433,¿Qué me da más miedo: el fracaso o no intentarlo?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
434,¿Qué parte de mi historia familiar más te ha marcado?,Profundas/Románticas,2,Influencias transgeneracionales.
435,¿Qué adjetivo usarías para nuestro estilo íntimo?,Intimas/Picantes,2,Autopercepción compartida.
436,¿Qué frase usarías para describir cómo nos conocimos desde tu perspectiva?,Nostálgicas,2,Memoria subjetiva.
437,¿Qué tipo de lencería o ropa interior mía te parece irresistible (o te gustaría que usara)?,Intimas/Picantes,1,Preferencias visuales.
438,¿Qué necesito escuchar de ti cuando estoy triste?,Profundas/Románticas,2,Estrategias de consuelo específicas.
439,¿Qué límite nunca cruzaríamos?,Intimas/Picantes,3,Negociación implícita de fronteras.
440,¿Qué experiencia de vida compartida te gustaría repetir exactamente igual?,Nostálgicas,1,Momento inolvidable.
441,"Un fetiche o ""kink"" leve que tengo y que creo podria explorar contigo es ...",Intimas/Picantes,3,Apertura a la exploración y tabúes leves.
442,¿Qué discusión entre nosotros me cambió la forma de pensar?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
443,¿Qué tradición quiero crear para nosotros?,Profundas/Románticas,2,Visión de rituales futuros.
444,¿Qué lugar visitarías si pudieras conocer cualquier cultura del mundo?,Hipotéticas/Imaginativas,3,Interés cultural profundo.
445,¿Cuál es el gesto o caricia no sexual que más me excita o me prepara para la intimidad?,Intimas/Picantes,2,Conocimiento de la antesala erótica.
446,¿Qué cosa no soporto en una discusión?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
447,¿Qué me daría más miedo perder en la vida?,Profundas/Románticas,3,Vulnerabilidades existenciales.
448,Mi peor miedo en nuestra relacion es...,Profundas/Románticas,3,Vulnerabilidad emocional.
449,"Si nuestra vida sexual fuera una película, ¿qué género sería (comedia romántica, drama erótico, aventura...)?",Intimas/Picantes,2,Autoconciencia y humor sobre la dinámica sexual.
450,¿Qué tipo de humor me molesta aunque finja reír?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
451,¿De qué manera me has cambiado sin que me diera cuenta en un primer momento?,Profundas/Románticas,3,Transformación inconsciente mutua.
452,¿Qué juego previo nunca falla?,Intimas/Picantes,1,Rutinas íntimas conocidas.
453,¿Qué canción asocias con nosotros que nadie más entendería?,Nostálgicas,2,Referencia personal única.
454,"¿Qué ""palabra clave"" o señal secreta podríamos usar en público para indicar que queremos intimidad más tarde?",Intimas/Picantes,2,Complicidad y comunicación no verbal.
455,¿Qué momento íntimo no sexual atesoro más?,Profundas/Románticas,2,Intimidad emocional pura.
456,Mi mayor inseguridad en la intimidad es...,Intimas/Picantes,3,Vulnerabilidad y confianza.
457,¿Qué historia mía me da vergüenza contar?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
458,¿Qué lección de vida me has enseñado?,Profundas/Románticas,2,Crecimiento personal mutuo.
459,"¿Qué comida o bebida considero afrodisíaca o me pone en ""modo romántico""?",Intimas/Picantes,1,Asociaciones personales.
460,¿Qué es algo que siempre quise hacer pero nunca me animé?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
461,"Si tuviéramos que sobrevivir en el espacio, ¿qué rol tendría cada uno?",Hipotéticas/Imaginativas,3,Dinámicas de supervivencia creativas.
462,Si grabaramos un podcast ¿de qué sería?,Hipotéticas/Imaginativas,2,Temas de interés mutuo.
463,¿Qué animal soy cuando estoy aburrido/a?,Rompehielos/Divertidas,1,Deberías saberlo.
464,¿Qué recuerdo íntimo nuestro me hace sonrojar de placer con solo pensarlo?,Intimas/Picantes,2,Memoria erótica significativa.
465,¿Qué tema evitamos porque nos incomoda a ambos?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
466,¿Qué reality show seríamos perfectos para participar juntos?,Hipotéticas/Imaginativas,2,Análisis de dinámicas de pareja.
467,¿Qué lugar te gustaría que visitáramos juntos por segunda vez?,Hipotéticas/Imaginativas,1,Deberías saberlo.
468,¿Qué nombre artístico tendríamos como dúo musical?,Hipotéticas/Imaginativas,2,Creatividad + identidad compartida.
469,¿Qué es lo más vergonzoso o gracioso que nos ha pasado durante un momento íntimo?,Intimas/Picantes,1,Humor y superación de la vergüenza.
470,¿Qué tradición inventaríamos para nuestros futuros nietos?,Hipotéticas/Imaginativas,3,Legado imaginativo.
471,¿Qué canción asocias con nuestras peleas más intensas?,Nostálgicas,3,Memoria emocional.
472,¿Qué secreto me hubiera costado contarte al principio?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
473,Si pudiera aprender instantáneamente cualquier idiomal sería ...,Rompehielos/Divertidas,2,Aspiraciones e intereses culturales.
474,¿Qué película me marcó emocionalmente y por qué?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
475,"¿Qué mascota imposible tendríamos (dragón, unicornio, etc.)?",Hipotéticas/Imaginativas,2,Fantasías de compañía mágica.
476,¿Qué palabra resume mi visión de pareja?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
477,"Si pudiéramos leer mentes por un día, ¿de quién sería la primera que leeríamos?",Hipotéticas/Imaginativas,3,Curiosidad específica sobre terceros.
478,¿Qué animal soy cuando estoy enamorado/a?,Rompehielos/Divertidas,1,Deberías saberlo.
479,"¿Qué pequeña manía mía te parece adorable o, al menos, soportable?",Rompehielos/Divertidas,1,Conocimiento de peculiaridades.
480,¿Qué realidad alterna nos tentaría?,Hipotéticas/Imaginativas,3,Arrepentimientos no confesados.
481,"Si fuera un sabor, ¿cuál sería y por qué?",Rompehielos/Divertidas,2,Autopercepción sensorial y creativa.
482,¿Cuál es mi recuerdo más feliz de la adolescencia?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
483,¿Qué trabajo haríamos en un circo?,Hipotéticas/Imaginativas,2,Talentos circenses imaginarios.
484,¿Qué objeto cotidiano sexualizaríamos?,Intimas/Picantes,2,Creatividad erótica cotidiana.
485,Algo que sólo te he contado a ti es ...,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
486,¿Qué secreto mío descubriste por accidente?,Profundas/Románticas,3,Vulnerabilidad involuntaria.
487,¿Cual es nuestra reconciliación más significativa?,Nostálgicas,2,Conexión emocional recuperada.
488,¿Qué cosa hago que siempre delata cuando estoy mintiendo (aunque sea una mentira piadosa)?,Rompehielos/Divertidas,1,Tells observables.
489,¿Qué tipo de fantasmas seríamos después de morir?,Hipotéticas/Imaginativas,3,Personalidad post-mortem humorística.
490,"Si me dieran tres deseos (sin trampas), ¿cuáles pediría?",Rompehielos/Divertidas,3,Prioridades profundas y algo de imaginación.
491,¿Qué es algo que me cuesta perdonar?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
492,"Si intercambiáramos personalidades por una semana, ¿qué haría yo con la tuya?",Hipotéticas/Imaginativas,3,Comprensión profunda de diferencias.
493,¿Qué elogio tuyo guardo como tesoro?,Profundas/Románticas,1,Validación emocional significativa.
494,¿Cuál es el recuerdo más antiguo que tengo de nuestra relación que aún atesoro?,Nostálgicas,2,Memoria selectiva y valor sentimental.
495,¿Qué cicatriz emocional respetas sin preguntar?,Profundas/Románticas,3,Límites emocionales tácitos.
496,¿Qué animal soy cuando estoy emocionado/a?,Rompehielos/Divertidas,1,Deberías saberlo.
497,¿Qué es algo que quiero experimentar en la vida antes de morir?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
498,¿Qué poder mágico elegiría para ayudarte en tu día a día?,Hipotéticas/Imaginativas,3,Altruismo mágico específico.
499,¿Qué canción me hace llorar en secreto?,Profundas/Románticas,2,Sensibilidades musicales ocultas.
500,¿Cuál es el piropo o cumplido más memorable que me has dado?,Nostálgicas,1,Impacto de palabras afectuosas.
501,¿Qué tipo de zombies seríamos en el apocalipsis?,Hipotéticas/Imaginativas,2,Humor negro sobre transformación.
502,¿Qué lección de vida me diste sin palabras?,Profundas/Románticas,2,Impacto conductual inconsciente.
503,¿Qué objeto pequeño simboliza un gran momento o etapa de nuestra relación para mí?,Nostálgicas,3,Significado profundo en lo cotidiano.
504,¿Qué mensaje dejaríamos en una botella al mar?,Hipotéticas/Imaginativas,2,Comunicación romántica hipotética.
505,Una pregunta que evito por miedo a tu respuesta es...,Profundas/Románticas,3,Inseguridades no verbalizadas.
506,¿Qué canción asocias con nuestros mejores días juntos?,Nostálgicas,1,Deberías saberlo.
507,"Si fuéramos plantas, ¿qué tipo seríamos?",Hipotéticas/Imaginativas,3,Metáfora botánica de relación.
508,¿Qué gesto de ternura robé de ti?,Profundas/Románticas,1,Adopción inconsciente de hábitos.
509,¿Qué objeto usarías para describir cómo me ves en el futuro?,Hipotéticas/Imaginativas,3,Proyección simbólica.
510,¿Qué tradición que teníamos al principio de la relación extraño y me gustaría retomar?,Nostálgicas,2,Anhelo por rituales pasados.
511,¿Qué tipo de dinosaurios habríamos sido?,Hipotéticas/Imaginativas,2,Personalidad prehistórica.
512,¿Qué parte de tu personalidad admiré antes de amarte?,Profundas/Románticas,2,Reconocimiento de esencia.
513,¿Cuál fue la discusión más tonta que tuvimos que luego nos hizo reír mucho?,Nostálgicas,1,Humor sobre conflictos menores.
514,¿Qué crimen del siglo pasado resolveríamos como detectives?,Hipotéticas/Imaginativas,3,Trabajo en equipo investigativo.
515,¿Qué recuerdo familiar compartirías con nuestro hijo hipotético?,Nostálgicas,3,Legado emocional selectivo.
516,¿Qué foto nuestra antigua me da más ternura o nostalgia?,Nostálgicas,2,Conexión emocional con el pasado visual.
517,¿Qué canción de nuestra adolescencia nos uniría?,Nostálgicas,2,Memoria generacional compartida.
518,¿Qué crees que es lo más valiente que he hecho por amor (por ti o por la relación)?,Profundas/Románticas,2,Reconocimiento de esfuerzo y compromiso.
519,¿Qué frase tuya me da paz cuando estoy mal?,Rompehielos/Divertidas,2,Requiere conocimiento íntimo o conversaciones pasadas.
520,¿Qué objeto perdido de nuestra historia recuperarías?,Nostálgicas,3,Valor simbólico oculto.
521,¿Qué frase usarías para describir cómo te ves en 5 años conmigo?,Profundas/Románticas,3,Visión conjunta del futuro.
